ID , Priorité   , Question                                                                                                             , Thème                                , Réponse1                                                                                     , Valide?, Réponse2                                                                         , Valide?, Réponse3                                                                                                                 , Valide?, Réponse4                                                                                                         , Valide?, Réponse5, Valide?, Réponse6, Valide?, Réponse7, Valide?, Réponse8, Valide?, Réponse9, Valide?, Réponse10, Valide?, Réponse11, Valide?
 11,            , Que peut comprendre une visite en santé au travail ?                                                                 , Visites médicales                    , Un entretien individuel / examen clinique                                                    , Oui    , "Des examens complémentaires (prise de sang, analyse d'urine ...)"               , Oui    , Renouvellement d'ordonnance du médecin traitant / réalisation des certificats de sport (uniquement s'il reste du temps)  , Non    , Prescription du temps partiel thérapeutique                                                                      , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 12,            , Quels sont les objectifs principaux des examens réalisés lors des visites en santé au travail                        , Visites médicales                    , Détecter et soigner les maladies courantes                                                   , Non    , Contrôler la prise de stupéfiants                                                , Non    , Evaluer l'aptitude à exercer votre poste de travail en tenant compte de votre état de santé et des risques professionnels, Oui    , Evaluer l'état de santé général                                                                                  , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 13,            , Quels types de risques un service de santé au travail aide-t-il à prévenir ?                                         , Prévention des risques professionnels, Les risques physiques                                                                        , Oui    , Les risques chimiques                                                            , Oui    , Les risques psychosociaux                                                                                                , Oui    , Les risques en lien avec le trajet domicile / travail                                                            , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 14,            , Comment le Pôle Santé contribue-t-il à la prévention des risques professionnels ?                                    , Prévention des risques professionnels, En réalisant des visites des lieux de travail et en analysant les risques professionnels     , Oui    , En conseillant l'employeur sur l'aménagement des postes de travail               , Oui    , En réalisant le document unique d'évaluation des risques professionnels (DUER)                                           , Non    , "Aucun, il ne fait que des visites de santé au travail"                                                          , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 15,            , Comment le Pôle Santé peut-il améliorer l'ergonomie d'un poste de travail ?                                          , Prévention des risques professionnels, En réalisant une étude ergonomique et en proposant des aménagements                          , Oui    , En demandant au salarié de s'adapter aux conditions existantes                   , Non    , En remplaçant systématiquement le matériel tous les ans                                                                  , Non    , En sensibilisant à l'utilisation de matériel sur le poste de travail                                             , Oui    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 16,            , Qui peut solliciter l'intervention du Pôle Santé en matière de prévention des risques professionnels ?               , Prévention des risques professionnels, Le responsable du salarié                                                                    , Oui    , Le service des ressources humaines                                               , Oui    , Les salariés                                                                                                             , Oui    , Les clients de l'entreprise                                                                                      , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 17,            , Pourquoi le Pôle Santé vous conseille-t-il de porter vos Equipements de Protections Individuel (EPI) ?               , Prévention des risques professionnels, Pour éviter de salir vos vêtements de travail                                                , Non    , Parce que le service HSE doit liquider ses stocks obsolète d'EPI                 , Non    , Pour vous protéger des risques professionnels auxquels vous êtes exposé(s)                                               , Oui    , Pour que tous les salariés aient la bonne tenue                                                                  , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 18,            , Quelle est la différence entre un médecin généraliste et un médecin du travail ?                                     ,                                      , Il n'y a aucune différence                                                                   , Non    , Le médecin du travail se concentre sur la prévention des risques professionnels  , Oui    , "Le médecin du travail peut, au même titre qu'un médecin généraliste, vous prescrire des antibiotiques"                  , Non    , Le médecin généraliste peut également donner des recommandations d'aménagement du poste de travail de son patient, Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 19,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 20,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 21,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 22,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 23,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 24,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 25,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 26,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 27,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 28,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 29,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 30,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 31,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 32,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 33,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 34,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 35,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 36,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 37,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 38,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 39,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 40,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 41,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 42,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 43,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 44,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 45,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 46,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 47,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 48,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 49,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 50,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 51,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 52,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 53,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 54,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 55,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 56,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 57,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 58,            ,                                                                                                                      ,                                      ,                                                                                              ,        ,                                                                                  ,        ,                                                                                                                          ,        ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
